c1,c2,f1_score,accuracy,precision,recall
0.1,0.1,0.9656897667978749,0.9659856380185721,0.9655834289545892,0.9659856380185721
0.0001,0.1,0.9653872015370081,0.965649392244693,0.9652655552964949,0.965649392244693
0.01,0.1,0.9653273520475043,0.9656115343314714,0.9652006212257088,0.9656115343314714
0.001,0.1,0.9652838463877412,0.965562353148499,0.9651599274745374,0.965562353148499
0.1,0.01,0.964251192582655,0.9645178052470103,0.9641052601255052,0.9645178052470103
0.1,0.001,0.9635561102073851,0.9638304198695091,0.9633937788567225,0.9638304198695091
0.1,0.0001,0.9635511971849279,0.9638079457486165,0.9633954400045351,0.9638079457486165
0.01,0.01,0.9629362625319694,0.9631886538508537,0.9627716182890449,0.9631886538508537
0.001,0.01,0.962559793898157,0.9628051421413487,0.9623947071874911,0.9628051421413487
0.0001,0.01,0.9624261777764174,0.9626664367784866,0.962261697140068,0.9626664367784866
0.01,0.001,0.9606023000349664,0.960862141211439,0.9604220481003125,0.960862141211439
0.01,0.0001,0.959818163923862,0.9600754290965425,0.9596363004932985,0.9600754290965425
0.0001,0.001,0.9595459578182469,0.9597701492975282,0.9593843539845555,0.9597701492975282
0.001,0.001,0.9595167869473312,0.9597476105213977,0.9593467382919085,0.9597476105213977
0.001,0.0001,0.9577096744967729,0.9579500970711692,0.9575396942840163,0.9579500970711692
0.0001,0.0001,0.9569997773157852,0.9572416149156883,0.9568254735934376,0.9572416149156883
